PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,Dead,3,"Braund, Mr. Owen Harris",male,22,1,0,A/5 21171,7.25,,Southhampton
2,Survived,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0,PC 17599,71.2833,C85,Cherbourg
3,Survived,3,"Heikkinen, Miss. Laina",female,26,0,0,STON/O2. 3101282,7.925,,Southhampton
4,Survived,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,0,113803,53.1,C123,Southhampton
5,Dead,3,"Allen, Mr. William Henry",male,35,0,0,373450,8.05,,Southhampton
6,Dead,3,"Moran, Mr. James",male,,0,0,330877,8.4583,,Queenstown
7,Dead,1,"McCarthy, Mr. Timothy J",male,54,0,0,17463,51.8625,E46,Southhampton
8,Dead,3,"Palsson, Master. Gosta Leonard",male,2,3,1,349909,21.075,,Southhampton
9,Survived,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,0,2,347742,11.1333,,Southhampton
10,Survived,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,1,0,237736,30.0708,,Cherbourg
11,Survived,3,"Sandstrom, Miss. Marguerite Rut",female,4,1,1,PP 9549,16.7,G6,Southhampton
12,Survived,1,"Bonnell, Miss. Elizabeth",female,58,0,0,113783,26.55,C103,Southhampton
13,Dead,3,"Saundercock, Mr. William Henry",male,20,0,0,A/5. 2151,8.05,,Southhampton
14,Dead,3,"Andersson, Mr. Anders Johan",male,39,1,5,347082,31.275,,Southhampton
15,Dead,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,0,350406,7.8542,,Southhampton
16,Survived,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55,0,0,248706,16,,Southhampton
17,Dead,3,"Rice, Master. Eugene",male,2,4,1,382652,29.125,,Queenstown
18,Survived,2,"Williams, Mr. Charles Eugene",male,,0,0,244373,13,,Southhampton
19,Dead,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,0,345763,18,,Southhampton
20,Survived,3,"Masselmani, Mrs. Fatima",female,,0,0,2649,7.225,,Cherbourg
21,Dead,2,"Fynney, Mr. Joseph J",male,35,0,0,239865,26,,Southhampton
22,Survived,2,"Beesley, Mr. Lawrence",male,34,0,0,248698,13,D56,Southhampton
23,Survived,3,"McGowan, Miss. Anna ""Annie""",female,15,0,0,330923,8.0292,,Queenstown
24,Survived,1,"Sloper, Mr. William Thompson",male,28,0,0,113788,35.5,A6,Southhampton
25,Dead,3,"Palsson, Miss. Torborg Danira",female,8,3,1,349909,21.075,,Southhampton
26,Survived,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,5,347077,31.3875,,Southhampton
27,Dead,3,"Emir, Mr. Farred Chehab",male,,0,0,2631,7.225,,Cherbourg
